 massa A  
t x y 
2.086 1.015 0.967
2.120 0.979 0.961
2.154 0.892 0.993
2.188 0.830 1.026
2.222 0.764 1.079
2.257 0.695 1.143
2.291 0.613 1.227
2.325 0.543 1.311
2.359 0.473 1.384
2.393 0.408 1.437
2.428 0.345 1.470
2.462 0.296 1.486
2.496 0.244 1.499
2.530 0.193 1.500
2.564 0.138 1.481
2.599 8.130E-2 1.449
2.633 1.134E-2 1.391
2.667 -5.625E-2 1.322
2.701 -0.119 1.240
2.735 -0.181 1.157
2.770 -0.236 1.076
2.804 -0.291 1.048
